flight_number,scheduled_departure_date,total_pax,departure_delay_min
4792,2025-08-04,65,7.00
920,2025-08-03,171,22.00
1776,2025-08-10,180,111.00
5790,2025-08-06,55,105.00
1398,2025-08-05,136,-4.00
5470,2025-08-07,73,-4.00
374,2025-08-15,128,28.00
1577,2025-08-15,261,-1.00
881,2025-08-03,370,25.00
2006,2025-08-09,188,10.00
307,2025-08-14,147,-4.00
1538,2025-08-08,188,-6.00
1006,2025-08-02,199,60.00
4395,2025-08-14,51,86.00
1538,2025-08-06,116,-8.00
2138,2025-08-08,167,-4.00
4481,2025-08-15,41,-4.00
5108,2025-08-14,47,-6.00
3568,2025-08-15,83,-2.00
4739,2025-08-03,61,-1.00
664,2025-08-02,198,1.00
5517,2025-08-04,78,-1.00
1156,2025-08-08,215,19.00
4387,2025-08-06,67,-15.00
1361,2025-08-11,137,20.00
2323,2025-08-03,297,-6.00
5229,2025-08-13,62,-5.00
3700,2025-08-02,80,15.00
4610,2025-08-15,52,-3.00
1414,2025-08-13,158,-5.00
1156,2025-08-13,72,1.00
247,2025-08-13,114,-7.00
2378,2025-08-08,238,8.00
5930,2025-08-14,53,100.00
3628,2025-08-11,76,-5.00
5564,2025-08-01,55,9.00
2361,2025-08-13,143,-3.00
3520,2025-08-05,71,0.00
4546,2025-08-06,46,39.00
5362,2025-08-14,60,-5.00
5251,2025-08-03,73,8.00
4429,2025-08-07,50,-1.00
1899,2025-08-01,178,74.00
2137,2025-08-03,180,-2.00
1576,2025-08-10,170,0.00
2004,2025-08-11,171,8.00
343,2025-08-02,274,-1.00
2370,2025-08-11,201,0.00
2189,2025-08-01,186,-4.00
481,2025-08-12,77,129.00
1209,2025-08-15,218,5.00
2177,2025-08-15,138,30.00
909,2025-08-13,262,34.00
1584,2025-08-05,265,0.00
3690,2025-08-13,68,-9.00
3542,2025-08-15,83,-5.00
4791,2025-08-14,59,-8.00
2011,2025-08-11,162,12.00
1946,2025-08-15,196,-1.00
5292,2025-08-02,87,-4.00
845,2025-08-12,260,115.00
3525,2025-08-13,90,-2.00
2677,2025-08-06,160,194.00
767,2025-08-13,202,38.00
5026,2025-08-13,53,13.00
5493,2025-08-05,53,-4.00
4519,2025-08-06,43,-12.00
4791,2025-08-04,45,-5.00
592,2025-08-03,161,9.00
4590,2025-08-01,55,-9.00
3464,2025-08-13,76,15.00
5963,2025-08-14,74,13.00
5447,2025-08-10,67,-6.00
1495,2025-08-05,74,6.00
2100,2025-08-08,191,0.00
2640,2025-08-05,59,-1.00
224,2025-08-01,196,6.00
5392,2025-08-15,70,4.00
5984,2025-08-05,100,10.00
5737,2025-08-13,50,7.00
4552,2025-08-03,44,-7.00
4476,2025-08-07,55,65.00
4482,2025-08-02,52,-1.00
5557,2025-08-12,81,16.00
2683,2025-08-11,188,-4.00
5557,2025-08-13,86,-3.00
3716,2025-08-13,84,7.00
1616,2025-08-04,161,1.00
3440,2025-08-15,72,-5.00
5836,2025-08-10,53,91.00
5493,2025-08-06,54,-7.00
1775,2025-08-10,246,-1.00
2653,2025-08-05,187,-6.00
4552,2025-08-15,41,5.00
1599,2025-08-11,432,-1.00
2666,2025-08-07,236,-4.00
3536,2025-08-11,67,-5.00
3409,2025-08-07,83,-3.00
4590,2025-08-14,60,66.00
763,2025-08-01,232,-3.00
2195,2025-08-08,156,-5.00
1989,2025-08-12,172,132.00
5930,2025-08-10,49,5.00
1793,2025-08-12,134,39.00
2677,2025-08-05,204,-4.00
5521,2025-08-01,47,61.00
2487,2025-08-15,99,69.00
3614,2025-08-09,99,8.00
3708,2025-08-15,70,-4.00
1657,2025-08-08,190,-5.00
5915,2025-08-10,56,64.00
5790,2025-08-01,54,54.00
2427,2025-08-12,88,11.00
