flight_number,scheduled_departure_date,departure_delay_min,total_pax,ssr_count,load_category,ssr_volume
4792,2025-08-04,7.0,65,41,Low Load,High SSR
920,2025-08-03,22.0,171,60,High Load,High SSR
1776,2025-08-10,111.0,180,41,High Load,High SSR
5790,2025-08-06,105.0,55,30,Low Load,Low SSR
1398,2025-08-05,-4.0,136,96,Medium Load,High SSR
5470,2025-08-07,-4.0,73,23,Medium Load,Low SSR
374,2025-08-15,28.0,128,85,Medium Load,High SSR
1577,2025-08-15,-1.0,261,88,High Load,High SSR
881,2025-08-03,25.0,370,93,High Load,High SSR
2006,2025-08-09,10.0,188,80,High Load,High SSR
307,2025-08-14,-4.0,147,68,Medium Load,High SSR
1538,2025-08-08,-6.0,188,73,High Load,High SSR
1006,2025-08-02,60.0,199,85,High Load,High SSR
4395,2025-08-14,86.0,51,29,Low Load,Low SSR
1538,2025-08-06,-8.0,116,73,Medium Load,High SSR
2138,2025-08-08,-4.0,167,72,Medium Load,High SSR
4481,2025-08-15,-4.0,41,17,Low Load,Low SSR
5108,2025-08-14,-6.0,47,33,Low Load,Low SSR
3568,2025-08-15,-2.0,83,26,Medium Load,Low SSR
4739,2025-08-03,-1.0,61,31,Low Load,Low SSR
664,2025-08-02,1.0,198,75,High Load,High SSR
5517,2025-08-04,-1.0,78,18,Medium Load,Low SSR
1156,2025-08-08,19.0,215,80,High Load,High SSR
4387,2025-08-06,-15.0,67,19,Low Load,Low SSR
1361,2025-08-11,20.0,137,48,Medium Load,High SSR
2323,2025-08-03,-6.0,297,55,High Load,High SSR
5229,2025-08-13,-5.0,62,16,Low Load,Low SSR
3700,2025-08-02,15.0,80,10,Medium Load,Low SSR
4610,2025-08-15,-3.0,52,16,Low Load,Low SSR
1414,2025-08-13,-5.0,158,70,Medium Load,High SSR
1156,2025-08-13,1.0,72,80,Low Load,High SSR
247,2025-08-13,-7.0,114,83,Medium Load,High SSR
2378,2025-08-08,8.0,238,47,High Load,High SSR
5930,2025-08-14,100.0,53,23,Low Load,Low SSR
3628,2025-08-11,-5.0,76,20,Medium Load,Low SSR
5564,2025-08-01,9.0,55,29,Low Load,Low SSR
2361,2025-08-13,-3.0,143,46,Medium Load,High SSR
3520,2025-08-05,0.0,71,13,Low Load,Low SSR
4546,2025-08-06,39.0,46,18,Low Load,Low SSR
5362,2025-08-14,-5.0,60,32,Low Load,Low SSR
5251,2025-08-03,8.0,73,23,Medium Load,Low SSR
4429,2025-08-07,-1.0,50,24,Low Load,Low SSR
1899,2025-08-01,74.0,178,48,High Load,High SSR
2137,2025-08-03,-2.0,180,62,High Load,High SSR
1576,2025-08-10,0.0,170,19,High Load,Low SSR
2004,2025-08-11,8.0,171,49,High Load,High SSR
343,2025-08-02,-1.0,274,104,High Load,High SSR
2370,2025-08-11,0.0,201,81,High Load,High SSR
2189,2025-08-01,-4.0,186,62,High Load,High SSR
481,2025-08-12,129.0,77,54,Medium Load,High SSR
1209,2025-08-15,5.0,218,65,High Load,High SSR
2177,2025-08-15,30.0,138,30,Medium Load,Low SSR
909,2025-08-13,34.0,262,97,High Load,High SSR
1584,2025-08-05,0.0,265,55,High Load,High SSR
3690,2025-08-13,-9.0,68,19,Low Load,Low SSR
3542,2025-08-15,-5.0,83,20,Medium Load,Low SSR
4791,2025-08-14,-8.0,59,23,Low Load,Low SSR
2011,2025-08-11,12.0,162,87,Medium Load,High SSR
1946,2025-08-15,-1.0,196,57,High Load,High SSR
5292,2025-08-02,-4.0,87,48,Medium Load,High SSR
845,2025-08-12,115.0,260,212,High Load,High SSR
3525,2025-08-13,-2.0,90,23,Medium Load,Low SSR
2677,2025-08-06,194.0,160,104,Medium Load,High SSR
767,2025-08-13,38.0,202,44,High Load,High SSR
5026,2025-08-13,13.0,53,19,Low Load,Low SSR
5493,2025-08-05,-4.0,53,18,Low Load,Low SSR
4519,2025-08-06,-12.0,43,18,Low Load,Low SSR
4791,2025-08-04,-5.0,45,23,Low Load,Low SSR
592,2025-08-03,9.0,161,52,Medium Load,High SSR
4590,2025-08-01,-9.0,55,26,Low Load,Low SSR
3464,2025-08-13,15.0,76,14,Medium Load,Low SSR
